date_name,url_img
"USNI News Fleet and Marine Tracker: May 20, 2019",https://news.usni.org/wp-content/uploads/2019/05/FT_5_20_2019-1-660x370.jpg
"USNI News Fleet and Marine Tracker: May 13, 2019",https://news.usni.org/wp-content/uploads/2019/05/FT_5_13_2019_1-660x370.jpg
"USNI News Fleet and Marine Tracker: May 6, 2019",https://news.usni.org/wp-content/uploads/2019/05/FT_5_6_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: April 29, 2019",https://news.usni.org/wp-content/uploads/2019/04/FT_4_29_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: April 22, 2019",https://news.usni.org/wp-content/uploads/2019/04/FT_4_22_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: April 15, 2019",https://news.usni.org/wp-content/uploads/2019/04/FT_4_15_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: April 8, 2019",https://news.usni.org/wp-content/uploads/2019/04/FT_4_7_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: April 1, 2019",https://news.usni.org/wp-content/uploads/2019/04/FT_4_1_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: March 25, 2019",https://news.usni.org/wp-content/uploads/2019/03/FT_3_25_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: March 18, 2019",https://news.usni.org/wp-content/uploads/2019/03/FT_3_18_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: March 11, 2019",https://news.usni.org/wp-content/uploads/2019/03/FT_3_11_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: March 4, 2019",https://news.usni.org/wp-content/uploads/2019/03/FT_3_4_2019-1-660x370.jpg
"USNI News Fleet and Marine Tracker: Feb. 25, 2019",https://news.usni.org/wp-content/uploads/2019/02/FT_2_25_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: Feb. 19, 2019",https://news.usni.org/wp-content/uploads/2019/02/FT_2_19_2019-1-660x370.jpg
"USNI News Fleet and Marine Tracker: Feb. 11, 2019",https://news.usni.org/wp-content/uploads/2019/02/FT_2_11_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: Feb. 4, 2019",https://news.usni.org/wp-content/uploads/2019/02/FT_2_4_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: Jan. 28, 2019",https://news.usni.org/wp-content/uploads/2019/01/FT_1_28_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: Jan. 22, 2019",https://news.usni.org/wp-content/uploads/2019/01/FT_1_22_2019-660x370.jpg
"USNI News Fleet and Marine Tracker: Jan. 14, 2019",https://news.usni.org/wp-content/uploads/2019/01/FT_1_14_2019-1-660x370.jpg
2018 USNI News Fleet Tracker Year in Review,https://news.usni.org/wp-content/uploads/2018/11/4906944-660x440.jpg
"USNI News Fleet and Marine Tracker: Dec. 31, 2018",https://news.usni.org/wp-content/uploads/2018/12/FT_12_31_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Dec. 27, 2018",https://news.usni.org/wp-content/uploads/2018/12/FT_12_27_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: Dec. 17, 2018",https://news.usni.org/wp-content/uploads/2018/12/FT_12_17_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: Dec. 10, 2018",https://news.usni.org/wp-content/uploads/2018/12/FT_12_10_2018-1-660x369.jpg
"USNI News Fleet and Marine Tracker: Dec. 3, 2018",https://news.usni.org/wp-content/uploads/2018/12/FT_12_03_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Nov. 26, 2018",https://news.usni.org/wp-content/uploads/2018/11/FT_11_26_2018-1-660x370.jpg
"USNI News Fleet and Marine Tracker: Nov. 19, 2018",https://news.usni.org/wp-content/uploads/2018/11/FT_11_19_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: Nov. 13, 2018",https://news.usni.org/wp-content/uploads/2018/11/FT_11_13_2018-660x368.jpg
